Month,U.S. Regular All Formulations Retail Gasoline Prices Dollars per Gallon
21-Oct,3.291
21-Sep,3.175
21-Aug,3.158
21-Jul,3.136
21-Jun,3.064
21-May,2.985
21-Apr,2.858
21-Mar,2.81
21-Feb,2.501
21-Jan,2.334
20-Dec,2.195
20-Nov,2.108
20-Oct,2.158
20-Sep,2.183
20-Aug,2.182
20-Jul,2.183
20-Jun,2.082
20-May,1.87
20-Apr,1.841
20-Mar,2.234
20-Feb,2.442
20-Jan,2.548
19-Dec,2.555
19-Nov,2.598
19-Oct,2.627
19-Sep,2.592
19-Aug,2.621
19-Jul,2.74
19-Jun,2.716
19-May,2.859
19-Apr,2.798
19-Mar,2.516
19-Feb,2.309
19-Jan,2.248
18-Dec,2.366
18-Nov,2.647
18-Oct,2.86
18-Sep,2.836
18-Aug,2.836
18-Jul,2.849
18-Jun,2.891
18-May,2.901
18-Apr,2.757
18-Mar,2.591
18-Feb,2.587
18-Jan,2.555
17-Dec,2.477
17-Nov,2.564
17-Oct,2.505
17-Sep,2.645
17-Aug,2.38
17-Jul,2.3
17-Jun,2.347
17-May,2.391
17-Apr,2.417
17-Mar,2.325
17-Feb,2.304
17-Jan,2.349
16-Dec,2.254
16-Nov,2.182
16-Oct,2.249
16-Sep,2.219
16-Aug,2.178
16-Jul,2.239
16-Jun,2.366
16-May,2.268
16-Apr,2.113
16-Mar,1.969
16-Feb,1.764
16-Jan,1.949
15-Dec,2.038
15-Nov,2.158
15-Oct,2.29
15-Sep,2.365
15-Aug,2.636
15-Jul,2.794
15-Jun,2.802
15-May,2.718
15-Apr,2.469
15-Mar,2.464
15-Feb,2.216
15-Jan,2.116
14-Dec,2.543
14-Nov,2.912
14-Oct,3.171
14-Sep,3.406
14-Aug,3.487
14-Jul,3.611
14-Jun,3.692
14-May,3.673
14-Apr,3.661
14-Mar,3.533
14-Feb,3.356
14-Jan,3.313
13-Dec,3.276
13-Nov,3.243
13-Oct,3.344
13-Sep,3.532
13-Aug,3.574
13-Jul,3.591
13-Jun,3.626
13-May,3.615
13-Apr,3.57
13-Mar,3.711
13-Feb,3.67
13-Jan,3.319
12-Dec,3.31
12-Nov,3.452
12-Oct,3.746
12-Sep,3.849
12-Aug,3.722
12-Jul,3.439
12-Jun,3.539
12-May,3.732
12-Apr,3.9
12-Mar,3.852
12-Feb,3.579
12-Jan,3.38
11-Dec,3.266
11-Nov,3.384
11-Oct,3.448
11-Sep,3.611
11-Aug,3.639
11-Jul,3.65
11-Jun,3.68
11-May,3.906
11-Apr,3.8
11-Mar,3.561
11-Feb,3.211
11-Jan,3.095
10-Dec,2.993
10-Nov,2.859
10-Oct,2.801
10-Sep,2.705
10-Aug,2.73
10-Jul,2.729
10-Jun,2.732
10-May,2.836
10-Apr,2.848
10-Mar,2.772
10-Feb,2.644
10-Jan,2.715
9-Dec,2.607
9-Nov,2.651
9-Oct,2.551
9-Sep,2.554
9-Aug,2.616
9-Jul,2.527
9-Jun,2.631
9-May,2.266
9-Apr,2.049
9-Mar,1.959
9-Feb,1.923
9-Jan,1.788
8-Dec,1.687
8-Nov,2.147
8-Oct,3.051
8-Sep,3.703
8-Aug,3.779
8-Jul,4.062
8-Jun,4.054
8-May,3.766
8-Apr,3.458
8-Mar,3.244
8-Feb,3.028
8-Jan,3.043
7-Dec,3.018
7-Nov,3.08
7-Oct,2.803
7-Sep,2.803
7-Aug,2.786
7-Jul,2.965
7-Jun,3.056
7-May,3.146
7-Apr,2.845
7-Mar,2.563
7-Feb,2.278
7-Jan,2.24
6-Dec,2.313
6-Nov,2.229
6-Oct,2.245
6-Sep,2.555
6-Aug,2.952
6-Jul,2.981
6-Jun,2.885
6-May,2.907
6-Apr,2.742
6-Mar,2.425
6-Feb,2.28
6-Jan,2.316
5-Dec,2.185
5-Nov,2.257
5-Oct,2.717
5-Sep,2.903
5-Aug,2.486
5-Jul,2.29
5-Jun,2.156
5-May,2.161
5-Apr,2.243
5-Mar,2.079
5-Feb,1.91
5-Jan,1.831
4-Dec,1.841
4-Nov,1.979
4-Oct,2
4-Sep,1.87
4-Aug,1.878
4-Jul,1.911
4-Jun,1.969
4-May,1.983
4-Apr,1.798
4-Mar,1.736
4-Feb,1.648
4-Jan,1.572
3-Dec,1.479
3-Nov,1.512
3-Oct,1.564
3-Sep,1.679
3-Aug,1.62
3-Jul,1.513
3-Jun,1.493
3-May,1.497
3-Apr,1.589
3-Mar,1.693
3-Feb,1.613
3-Jan,1.458
2-Dec,1.386
2-Nov,1.419
2-Oct,1.445
2-Sep,1.4
2-Aug,1.396
2-Jul,1.397
2-Jun,1.382
2-May,1.392
2-Apr,1.397
2-Mar,1.249
2-Feb,1.114
2-Jan,1.107
1-Dec,1.086
1-Nov,1.171
1-Oct,1.315
1-Sep,1.522
1-Aug,1.421
1-Jul,1.421
1-Jun,1.616
1-May,1.702
1-Apr,1.552
1-Mar,1.409
1-Feb,1.45
1-Jan,1.447
Dec-00,1.443
Nov-00,1.517
Oct-00,1.532
Sep-00,1.55
Aug-00,1.465
Jul-00,1.551
Jun-00,1.633
May-00,1.487
Apr-00,1.465
Mar-00,1.516
Feb-00,1.377
Jan-00,1.289
Dec-99,1.273
Nov-99,1.251
Oct-99,1.244
Sep-99,1.256
Aug-99,1.221
Jul-99,1.158
Jun-99,1.114
May-99,1.131
Apr-99,1.131
Mar-99,0.982
Feb-99,0.921
Jan-99,0.939
Dec-98,0.945
Nov-98,0.995
Oct-98,1.019
Sep-98,1.009
Aug-98,1.026
Jul-98,1.055
Jun-98,1.064
May-98,1.064
Apr-98,1.03
Mar-98,1.017
Feb-98,1.049
Jan-98,1.086
Dec-97,1.131
Nov-97,1.171
Oct-97,1.197
Sep-97,1.231
Aug-97,1.224
Jul-97,1.174
Jun-97,1.198
May-97,1.2
Apr-97,1.199
Mar-97,1.205
Feb-97,1.23
Jan-97,1.236
Dec-96,1.235
Nov-96,1.232
Oct-96,1.204
Sep-96,1.202
Aug-96,1.207
Jul-96,1.227
Jun-96,1.256
May-96,1.279
Apr-96,1.231
Mar-96,1.137
Feb-96,1.089
Jan-96,1.09
Dec-95,1.071
Nov-95,1.062
Oct-95,1.087
Sep-95,1.111
Aug-95,1.123
Jul-95,1.154
Jun-95,1.192
May-95,1.178
Apr-95,1.111
Mar-95,1.072
Feb-95,1.073
Jan-95,1.082
Dec-94,1.091
