date,geoid,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
1/21/2020,USA,1,0.14,0,0,0,0
1/22/2020,USA,0,0.14,0,0,0,0
1/23/2020,USA,0,0.14,0,0,0,0
1/24/2020,USA,1,0.29,0,0,0,0
1/25/2020,USA,1,0.43,0,0,0,0
1/26/2020,USA,2,0.71,0,0,0,0
1/27/2020,USA,0,0.71,0,0,0,0
1/28/2020,USA,0,0.57,0,0,0,0
1/29/2020,USA,0,0.57,0,0,0,0
1/30/2020,USA,1,0.71,0,0,0,0
1/31/2020,USA,1,0.86,0,0,0,0
2/1/2020,USA,1,1,0,0,0,0
2/2/2020,USA,3,1,0,0,0,0
2/3/2020,USA,0,1,0,0,0,0
2/4/2020,USA,0,1,0,0,0,0
2/5/2020,USA,1,1.14,0,0,0,0
2/6/2020,USA,0,0.86,0,0,0,0
2/7/2020,USA,0,0.86,0,0,0,0
2/8/2020,USA,0,0.71,0,0,0,0
2/9/2020,USA,0,0.14,0,0,0,0
2/10/2020,USA,1,0.29,0,0,0,0
2/11/2020,USA,0,0.29,0,0,0,0
2/12/2020,USA,1,0.29,0,0,0,0
2/13/2020,USA,1,0.43,0,0,0,0
2/14/2020,USA,0,0.43,0,0,0,0
2/15/2020,USA,0,0.43,0,0,0,0
2/16/2020,USA,0,0.43,0,0,0,0
2/17/2020,USA,10,1.71,0,0,0,0
2/18/2020,USA,0,1.71,0,0,0,0
2/19/2020,USA,0,1.71,0,0,0,0
2/20/2020,USA,2,1.71,0,0,0,0
2/21/2020,USA,3,2.14,0,0,0,0
2/22/2020,USA,0,2.14,0,0,0,0
2/23/2020,USA,0,2.14,0,0,0,0
2/24/2020,USA,13,2.57,0,0,0,0
2/25/2020,USA,2,2.8,0,0,0,0
2/26/2020,USA,15,4.34,0,0,0,0
2/27/2020,USA,0,4.34,0,0,0,0
2/28/2020,USA,5,4.83,0,0,0,0
2/29/2020,USA,5,5,0,1,0.14,0
3/1/2020,USA,18,6.66,0,2,0.43,0
3/2/2020,USA,16,9.8,0,3,0.86,0
3/3/2020,USA,21,11.2,0,4,1.25,0
3/4/2020,USA,36,13.03,0,2,1.37,0
3/5/2020,USA,67,20.01,0.01,0,1.37,0
3/6/2020,USA,83,35.21,0.01,3,1.52,0
3/7/2020,USA,117,51.13,0.02,4,2.57,0
3/8/2020,USA,119,64.92,0.02,3,2.71,0
3/9/2020,USA,201,89.05,0.03,4,2.77,0
3/10/2020,USA,270,124.02,0.04,5,2.84,0
3/11/2020,USA,245,151.11,0.05,6,3.57,0
3/12/2020,USA,405,202.28,0.06,6,4.05,0
3/13/2020,USA,556,270.57,0.08,7,4.87,0
3/14/2020,USA,674,342.93,0.1,10,5.63,0
3/15/2020,USA,702,427.56,0.13,8,6.1,0
3/16/2020,USA,907,530.94,0.16,23,8.72,0
3/17/2020,USA,1399,690.72,0.21,26,11.3,0
3/18/2020,USA,2444,1006.65,0.3,45,15.66,0
3/19/2020,USA,4043,1518.99,0.46,50,20.65,0.01
3/20/2020,USA,5619,2242.91,0.68,65,26.33,0.01
3/21/2020,USA,6516,3070.73,0.93,83,40.74,0.01
3/22/2020,USA,8545,4201.46,1.27,98,51.79,0.02
3/23/2020,USA,10432,5565.32,1.68,121,65.79,0.02
3/24/2020,USA,10433,6855.07,2.07,206,88.58,0.03
3/25/2020,USA,14634,8600.43,2.59,269,123.06,0.04
3/26/2020,USA,16998,10453.86,3.15,299,157.81,0.05
3/27/2020,USA,17330,12121.41,3.65,417,207.75,0.06
3/28/2020,USA,21066,14193.48,4.28,530,274.57,0.08
3/29/2020,USA,18520,15630.43,4.71,418,319.01,0.1
3/30/2020,USA,21469,17204.61,5.19,650,390.93,0.12
3/31/2020,USA,24506,19217.34,5.79,936,497.65,0.15
4/1/2020,USA,26930,20971.86,6.32,1021,606.75,0.18
4/2/2020,USA,29717,22790.1,6.87,1216,737.69,0.22
4/3/2020,USA,32318,24932.29,7.51,1391,879.29,0.26
4/4/2020,USA,35099,26936.88,8.12,1556,1025.28,0.31
4/5/2020,USA,25616,27951.16,8.42,1368,1162.74,0.35
4/6/2020,USA,30916,29300.57,8.83,1526,1289,0.39
4/7/2020,USA,30337,30136.3,9.08,2234,1473.49,0.44
4/8/2020,USA,31820,30831.35,9.29,2085,1627.98,0.49
4/9/2020,USA,34699,31535.71,9.5,2120,1756.78,0.53
4/10/2020,USA,33473,31700.29,9.55,2263,1880.4,0.57
4/11/2020,USA,31720,31219.43,9.41,2084,1955.44,0.59
4/12/2020,USA,27143,31509.86,9.5,1681,2001.23,0.6
4/13/2020,USA,25769,30840.43,9.29,1764,2033.7,0.61
4/14/2020,USA,26691,30430.56,9.17,2705,2103.26,0.63
4/15/2020,USA,30033,30096.99,9.07,2752,2182.35,0.66
4/16/2020,USA,31613,29613.42,8.92,2349,2214.47,0.67
4/17/2020,USA,31509,29372.76,8.85,2289,2222.34,0.67
4/18/2020,USA,28398,28816.48,8.68,1951,2205.62,0.66
4/19/2020,USA,25334,28523.62,8.6,1520,2177.32,0.66
4/20/2020,USA,27395,28728.2,8.66,1837,2189.51,0.66
4/21/2020,USA,25514,28613.54,8.62,2672,2191.8,0.66
4/22/2020,USA,28831,28440.49,8.57,2371,2145.83,0.65
4/23/2020,USA,33776,28789.06,8.68,2169,2123,0.64
4/24/2020,USA,36741,29430.71,8.87,2132,2100.62,0.63
4/25/2020,USA,34408,30307.07,9.13,1967,2103.46,0.63
4/26/2020,USA,26735,30422.81,9.17,1253,2061.63,0.62
4/27/2020,USA,23197,29851.24,9,1442,2008.09,0.61
4/28/2020,USA,24651,29669.43,8.94,2394,1970.54,0.59
4/29/2020,USA,26555,29356.51,8.85,2514,1992.39,0.6
4/30/2020,USA,30357,28862.05,8.7,2210,1992.3,0.6
5/1/2020,USA,33970,28555.9,8.61,1762,1951.29,0.59
5/2/2020,USA,29474,27845.87,8.39,1583,1880.89,0.57
5/3/2020,USA,26140,27860.49,8.4,1331,1899.93,0.57
5/4/2020,USA,21962,27603.21,8.32,1089,1843.5,0.56
5/5/2020,USA,23709,27471.63,8.28,2234,1819.14,0.55
5/6/2020,USA,24506,27265.91,8.22,2708,1792.35,0.54
5/7/2020,USA,28478,26909.23,8.11,1958,1726.15,0.52
5/8/2020,USA,27648,25991.09,7.83,1575,1678.25,0.51
5/9/2020,USA,24868,25343.34,7.64,1454,1655.3,0.5
5/10/2020,USA,20317,24422.39,7.36,932,1636.05,0.49
5/11/2020,USA,17621,23878.98,7.2,982,1577.2,0.48
